strategy,lam,l2_norm,remove_ratio,deletion_batch_size,sampler_seed,remove_class,sampling_type,sgd_seed,optim,step_size,lr_schedule,batch_size,num_steps,noise,noise_seed,running_time,unlearning_time,retraining_time,other_time,test_accuracy,cum_remove_accuracy,batch_remove_accuracy,pipeline_acc_err,num_deletions,retrained,batch_deleted_class_balance,cum_deleted_class_balance,threshold
nothing,0.0001,True,0.375,100,0,0,targeted_random,0,SGD,1.0,False,1024,1000,1.0,0,3.814697265625e-06,0,0,3.814697265625e-06,0.9637096774193549,0.95,0.95,0.0,100,False,1.0,1.0,None
nothing,0.0001,True,0.375,100,0,0,targeted_random,0,SGD,1.0,False,1024,1000,1.0,0,9.5367431640625e-07,0,0,9.5367431640625e-07,0.9637096774193549,0.95,0.95,0.0,200,False,1.0,1.0,None
nothing,0.0001,True,0.375,100,0,0,targeted_random,0,SGD,1.0,False,1024,1000,1.0,0,2.384185791015625e-06,0,0,2.384185791015625e-06,0.9637096774193549,0.9566666666666667,0.97,0.0,300,False,1.0,1.0,None
nothing,0.0001,True,0.375,100,0,0,targeted_random,0,SGD,1.0,False,1024,1000,1.0,0,1.6689300537109375e-06,0,0,1.6689300537109375e-06,0.9637096774193549,0.9425,0.9,0.0,400,False,1.0,1.0,None
nothing,0.0001,True,0.375,100,0,0,targeted_random,0,SGD,1.0,False,1024,1000,1.0,0,1.1920928955078125e-06,0,0,1.1920928955078125e-06,0.9637096774193549,0.946,0.96,0.0,500,False,1.0,1.0,None
nothing,0.0001,True,0.375,100,0,0,targeted_random,0,SGD,1.0,False,1024,1000,1.0,0,7.152557373046875e-07,0,0,7.152557373046875e-07,0.9637096774193549,0.9433333333333334,0.93,0.0,600,False,1.0,1.0,None
nothing,0.0001,True,0.375,100,0,0,targeted_random,0,SGD,1.0,False,1024,1000,1.0,0,9.5367431640625e-07,0,0,9.5367431640625e-07,0.9637096774193549,0.9442857142857143,0.95,0.0,700,False,1.0,1.0,None
nothing,0.0001,True,0.375,100,0,0,targeted_random,0,SGD,1.0,False,1024,1000,1.0,0,1.1920928955078125e-06,0,0,1.1920928955078125e-06,0.9637096774193549,0.9475,0.97,0.0,800,False,1.0,1.0,None
nothing,0.0001,True,0.375,100,0,0,targeted_random,0,SGD,1.0,False,1024,1000,1.0,0,9.5367431640625e-07,0,0,9.5367431640625e-07,0.9637096774193549,0.9488888888888889,0.96,0.0,900,False,1.0,1.0,None
nothing,0.0001,True,0.375,100,0,0,targeted_random,0,SGD,1.0,False,1024,1000,1.0,0,1.1920928955078125e-06,0,0,1.1920928955078125e-06,0.9637096774193549,0.946,0.92,0.0,1000,False,1.0,1.0,None
nothing,0.0001,True,0.375,100,0,0,targeted_random,0,SGD,1.0,False,1024,1000,1.0,0,7.152557373046875e-07,0,0,7.152557373046875e-07,0.9637096774193549,0.9472727272727273,0.96,0.0,1100,False,1.0,1.0,None
nothing,0.0001,True,0.375,100,0,0,targeted_random,0,SGD,1.0,False,1024,1000,1.0,0,9.5367431640625e-07,0,0,9.5367431640625e-07,0.9637096774193549,0.9458333333333333,0.93,0.0,1200,False,1.0,1.0,None
nothing,0.0001,True,0.375,100,0,0,targeted_random,0,SGD,1.0,False,1024,1000,1.0,0,9.5367431640625e-07,0,0,9.5367431640625e-07,0.9637096774193549,0.9453846153846154,0.94,0.0,1300,False,1.0,1.0,None
nothing,0.0001,True,0.375,100,0,0,targeted_random,0,SGD,1.0,False,1024,1000,1.0,0,7.152557373046875e-07,0,0,7.152557373046875e-07,0.9637096774193549,0.9442857142857143,0.93,0.0,1400,False,1.0,1.0,None
nothing,0.0001,True,0.375,100,0,0,targeted_random,0,SGD,1.0,False,1024,1000,1.0,0,9.5367431640625e-07,0,0,9.5367431640625e-07,0.9637096774193549,0.9453333333333334,0.96,0.0,1500,False,1.0,1.0,None
nothing,0.0001,True,0.375,100,0,0,targeted_random,0,SGD,1.0,False,1024,1000,1.0,0,9.5367431640625e-07,0,0,9.5367431640625e-07,0.9637096774193549,0.944375,0.93,0.0,1600,False,1.0,1.0,None
nothing,0.0001,True,0.375,100,0,0,targeted_random,0,SGD,1.0,False,1024,1000,1.0,0,7.152557373046875e-07,0,0,7.152557373046875e-07,0.9637096774193549,0.9441176470588235,0.94,0.0,1700,False,1.0,1.0,None
nothing,0.0001,True,0.375,100,0,0,targeted_random,0,SGD,1.0,False,1024,1000,1.0,0,7.152557373046875e-07,0,0,7.152557373046875e-07,0.9637096774193549,0.9444444444444444,0.95,0.0,1800,False,1.0,1.0,None
nothing,0.0001,True,0.375,100,0,0,targeted_random,0,SGD,1.0,False,1024,1000,1.0,0,9.5367431640625e-07,0,0,9.5367431640625e-07,0.9637096774193549,0.9426315789473684,0.91,0.0,1900,False,1.0,1.0,None
nothing,0.0001,True,0.375,100,0,0,targeted_random,0,SGD,1.0,False,1024,1000,1.0,0,7.152557373046875e-07,0,0,7.152557373046875e-07,0.9637096774193549,0.9425,0.94,0.0,2000,False,1.0,1.0,None
nothing,0.0001,True,0.375,100,0,0,targeted_random,0,SGD,1.0,False,1024,1000,1.0,0,9.5367431640625e-07,0,0,9.5367431640625e-07,0.9637096774193549,0.9433333333333334,0.96,0.0,2100,False,1.0,1.0,None
nothing,0.0001,True,0.375,100,0,0,targeted_random,0,SGD,1.0,False,1024,1000,1.0,0,9.5367431640625e-07,0,0,9.5367431640625e-07,0.9637096774193549,0.9427272727272727,0.93,0.0,2200,False,1.0,1.0,None
nothing,0.0001,True,0.375,100,0,0,targeted_random,0,SGD,1.0,False,1024,1000,1.0,0,1.1920928955078125e-06,0,0,1.1920928955078125e-06,0.9637096774193549,0.941304347826087,0.91,0.0,2300,False,1.0,1.0,None
nothing,0.0001,True,0.375,100,0,0,targeted_random,0,SGD,1.0,False,1024,1000,1.0,0,7.152557373046875e-07,0,0,7.152557373046875e-07,0.9637096774193549,0.9425,0.97,0.0,2400,False,1.0,1.0,None
nothing,0.0001,True,0.375,100,0,0,targeted_random,0,SGD,1.0,False,1024,1000,1.0,0,9.5367431640625e-07,0,0,9.5367431640625e-07,0.9637096774193549,0.9432,0.96,0.0,2500,False,1.0,1.0,None
nothing,0.0001,True,0.375,100,0,0,targeted_random,0,SGD,1.0,False,1024,1000,1.0,0,1.1920928955078125e-06,0,0,1.1920928955078125e-06,0.9637096774193549,0.9438461538461539,0.96,0.0,2600,False,1.0,1.0,None
nothing,0.0001,True,0.375,100,0,0,targeted_random,0,SGD,1.0,False,1024,1000,1.0,0,7.152557373046875e-07,0,0,7.152557373046875e-07,0.9637096774193549,0.9448148148148148,0.97,0.0,2700,False,1.0,1.0,None
nothing,0.0001,True,0.375,100,0,0,targeted_random,0,SGD,1.0,False,1024,1000,1.0,0,9.5367431640625e-07,0,0,9.5367431640625e-07,0.9637096774193549,0.9453571428571429,0.96,0.0,2800,False,1.0,1.0,None
nothing,0.0001,True,0.375,100,0,0,targeted_random,0,SGD,1.0,False,1024,1000,1.0,0,1.1920928955078125e-06,0,0,1.1920928955078125e-06,0.9637096774193549,0.9468965517241379,0.99,0.0,2900,False,1.0,1.0,None
nothing,0.0001,True,0.375,100,0,0,targeted_random,0,SGD,1.0,False,1024,1000,1.0,0,1.1920928955078125e-06,0,0,1.1920928955078125e-06,0.9637096774193549,0.9476666666666667,0.97,0.0,3000,False,1.0,1.0,None
nothing,0.0001,True,0.375,100,0,0,targeted_random,0,SGD,1.0,False,1024,1000,1.0,0,9.5367431640625e-07,0,0,9.5367431640625e-07,0.9637096774193549,0.9474193548387096,0.94,0.0,3100,False,1.0,1.0,None
nothing,0.0001,True,0.375,100,0,0,targeted_random,0,SGD,1.0,False,1024,1000,1.0,0,9.5367431640625e-07,0,0,9.5367431640625e-07,0.9637096774193549,0.9484375,0.98,0.0,3200,False,1.0,1.0,None
nothing,0.0001,True,0.375,100,0,0,targeted_random,0,SGD,1.0,False,1024,1000,1.0,0,9.5367431640625e-07,0,0,9.5367431640625e-07,0.9637096774193549,0.9490909090909091,0.97,0.0,3300,False,1.0,1.0,None
nothing,0.0001,True,0.375,100,0,0,targeted_random,0,SGD,1.0,False,1024,1000,1.0,0,1.1920928955078125e-06,0,0,1.1920928955078125e-06,0.9637096774193549,0.9488235294117647,0.94,0.0,3400,False,1.0,1.0,None
nothing,0.0001,True,0.375,100,0,0,targeted_random,0,SGD,1.0,False,1024,1000,1.0,0,9.5367431640625e-07,0,0,9.5367431640625e-07,0.9637096774193549,0.9482857142857143,0.93,0.0,3500,False,1.0,1.0,None
nothing,0.0001,True,0.375,100,0,0,targeted_random,0,SGD,1.0,False,1024,1000,1.0,0,9.5367431640625e-07,0,0,9.5367431640625e-07,0.9637096774193549,0.9477777777777778,0.93,0.0,3600,False,1.0,1.0,None
