strategy,lam,l2_norm,remove_ratio,deletion_batch_size,sampler_seed,remove_class,sampling_type,sgd_seed,optim,step_size,lr_schedule,batch_size,num_steps,noise,noise_seed,running_time,unlearning_time,retraining_time,other_time,test_accuracy,cum_remove_accuracy,batch_remove_accuracy,pipeline_acc_err,pipeline_acc_dis_est,pipeline_abs_err,checkpoint_remove_accuracy,num_deletions,retrained,batch_deleted_class_balance,cum_deleted_class_balance,threshold,prop_const,checkpoint_batch
nothing,0.0001,True,0.075,100,0,3,targeted_random,0,SGD,1.0,False,100,200,1.0,3,1.430511474609375e-06,0,0,1.430511474609375e-06,0.8861,0.85,0.85,0.0,None,0.0,0.85,100,False,0.0,9.0,None,None,0
nothing,0.0001,True,0.075,100,0,3,targeted_random,0,SGD,1.0,False,100,200,1.0,3,1.430511474609375e-06,0,0,1.430511474609375e-06,0.8861,0.85,0.85,0.0,None,0.0,0.85,200,False,0.0,9.0,None,None,0
nothing,0.0001,True,0.075,100,0,3,targeted_random,0,SGD,1.0,False,100,200,1.0,3,1.430511474609375e-06,0,0,1.430511474609375e-06,0.8861,0.85,0.85,0.0,None,0.0,0.85,300,False,0.0,9.0,None,None,0
nothing,0.0001,True,0.075,100,0,3,targeted_random,0,SGD,1.0,False,100,200,1.0,3,1.1920928955078125e-06,0,0,1.1920928955078125e-06,0.8861,0.84,0.81,0.0,None,0.0,0.84,400,False,0.0,9.0,None,None,0
nothing,0.0001,True,0.075,100,0,3,targeted_random,0,SGD,1.0,False,100,200,1.0,3,1.430511474609375e-06,0,0,1.430511474609375e-06,0.8861,0.846,0.87,0.0,None,0.0,0.846,500,False,0.0,9.0,None,None,0
nothing,0.0001,True,0.075,100,0,3,targeted_random,0,SGD,1.0,False,100,200,1.0,3,1.1920928955078125e-06,0,0,1.1920928955078125e-06,0.8861,0.85,0.87,0.0,None,0.0,0.85,600,False,0.0,9.0,None,None,0
nothing,0.0001,True,0.075,100,0,3,targeted_random,0,SGD,1.0,False,100,200,1.0,3,1.1920928955078125e-06,0,0,1.1920928955078125e-06,0.8861,0.84,0.78,0.0,None,0.0,0.84,700,False,0.0,9.0,None,None,0
nothing,0.0001,True,0.075,100,0,3,targeted_random,0,SGD,1.0,False,100,200,1.0,3,1.1920928955078125e-06,0,0,1.1920928955078125e-06,0.8861,0.84125,0.85,0.0,None,0.0,0.84125,800,False,0.0,9.0,None,None,0
nothing,0.0001,True,0.075,100,0,3,targeted_random,0,SGD,1.0,False,100,200,1.0,3,1.6689300537109375e-06,0,0,1.6689300537109375e-06,0.8861,0.8377777777777777,0.81,0.0,None,0.0,0.8377777777777777,900,False,0.0,9.0,None,None,0
nothing,0.0001,True,0.075,100,0,3,targeted_random,0,SGD,1.0,False,100,200,1.0,3,1.1920928955078125e-06,0,0,1.1920928955078125e-06,0.8861,0.838,0.84,0.0,None,0.0,0.838,1000,False,0.0,9.0,None,None,0
