strategy,lam,l2_norm,remove_ratio,deletion_batch_size,sampler_seed,remove_class,sampling_type,sgd_seed,optim,step_size,lr_schedule,batch_size,num_steps,noise,noise_seed,running_time,unlearning_time,retraining_time,other_time,test_accuracy,cum_remove_accuracy,batch_remove_accuracy,pipeline_acc_err,pipeline_acc_dis_est,pipeline_abs_err,checkpoint_remove_accuracy,num_deletions,retrained,batch_deleted_class_balance,cum_deleted_class_balance,threshold,prop_const,checkpoint_batch
nothing,0.0001,True,0.1,10000,0,0,targeted_informed,0,SGD,1.0,False,10000,20,1.0,0,9.5367431640625e-07,0,0,9.5367431640625e-07,0.57993,0.5503,0.5503,0.0,None,0.0,0.5503,10000,False,1.0,1.0,None,None,0
nothing,0.0001,True,0.1,10000,0,0,targeted_informed,0,SGD,1.0,False,10000,20,1.0,0,1.6689300537109375e-06,0,0,1.6689300537109375e-06,0.57993,0.5463,0.5423,0.0,None,0.0,0.5463,20000,False,1.0,1.0,None,None,0
nothing,0.0001,True,0.1,10000,0,0,targeted_informed,0,SGD,1.0,False,10000,20,1.0,0,1.1920928955078125e-06,0,0,1.1920928955078125e-06,0.57993,0.545,0.5424,0.0,None,0.0,0.545,30000,False,1.0,1.0,None,None,0
nothing,0.0001,True,0.1,10000,0,0,targeted_informed,0,SGD,1.0,False,10000,20,1.0,0,1.430511474609375e-06,0,0,1.430511474609375e-06,0.57993,0.54155,0.5312,0.0,None,0.0,0.54155,40000,False,1.0,1.0,None,None,0
nothing,0.0001,True,0.1,10000,0,0,targeted_informed,0,SGD,1.0,False,10000,20,1.0,0,1.430511474609375e-06,0,0,1.430511474609375e-06,0.57993,0.54316,0.5496,0.0,None,0.0,0.54316,50000,False,1.0,1.0,None,None,0
nothing,0.0001,True,0.1,10000,0,0,targeted_informed,0,SGD,1.0,False,10000,20,1.0,0,1.1920928955078125e-06,0,0,1.1920928955078125e-06,0.57993,0.54315,0.5431,0.0,None,0.0,0.54315,60000,False,1.0,1.0,None,None,0
nothing,0.0001,True,0.1,10000,0,0,targeted_informed,0,SGD,1.0,False,10000,20,1.0,0,1.1920928955078125e-06,0,0,1.1920928955078125e-06,0.57993,0.5414285714285715,0.5311,0.0,None,0.0,0.5414285714285715,70000,False,1.0,1.0,None,None,0
nothing,0.0001,True,0.1,10000,0,0,targeted_informed,0,SGD,1.0,False,10000,20,1.0,0,1.1920928955078125e-06,0,0,1.1920928955078125e-06,0.57993,0.5403125,0.5325,0.0,None,0.0,0.5403125,80000,False,1.0,1.0,None,None,0
nothing,0.0001,True,0.1,10000,0,0,targeted_informed,0,SGD,1.0,False,10000,20,1.0,0,1.430511474609375e-06,0,0,1.430511474609375e-06,0.57993,0.5405222222222222,0.5422,0.0,None,0.0,0.5405222222222222,90000,False,1.0,1.0,None,None,0
nothing,0.0001,True,0.1,10000,0,0,targeted_informed,0,SGD,1.0,False,10000,20,1.0,0,1.1920928955078125e-06,0,0,1.1920928955078125e-06,0.57993,0.53924,0.5277,0.0,None,0.0,0.53924,100000,False,1.0,1.0,None,None,0
