strategy,lam,l2_norm,remove_ratio,deletion_batch_size,sampler_seed,remove_class,sampling_type,sgd_seed,optim,step_size,lr_schedule,batch_size,num_steps,running_time,unlearning_time,retraining_time,other_time,test_accuracy,cum_remove_accuracy,batch_remove_accuracy,pipeline_acc_err,num_deletions,retrained,batch_deleted_class_balance,cum_deleted_class_balance,threshold
nothing,0.0001,True,0.1,10000,0,0,targeted_informed,0,SGD,1.0,False,512,20,1.1920928955078125e-06,0,0,1.1920928955078125e-06,0.5811245454545455,0.5095,0.5095,0.0,10000,False,1.0,1.0,None
nothing,0.0001,True,0.1,10000,0,0,targeted_informed,0,SGD,1.0,False,512,20,1.430511474609375e-06,0,0,1.430511474609375e-06,0.5811245454545455,0.50945,0.5094,0.0,20000,False,1.0,1.0,None
nothing,0.0001,True,0.1,10000,0,0,targeted_informed,0,SGD,1.0,False,512,20,1.430511474609375e-06,0,0,1.430511474609375e-06,0.5811245454545455,0.5112333333333333,0.5148,0.0,30000,False,1.0,1.0,None
nothing,0.0001,True,0.1,10000,0,0,targeted_informed,0,SGD,1.0,False,512,20,1.6689300537109375e-06,0,0,1.6689300537109375e-06,0.5811245454545455,0.5096,0.5047,0.0,40000,False,1.0,1.0,None
nothing,0.0001,True,0.1,10000,0,0,targeted_informed,0,SGD,1.0,False,512,20,1.1920928955078125e-06,0,0,1.1920928955078125e-06,0.5811245454545455,0.51194,0.5213,0.0,50000,False,1.0,1.0,None
nothing,0.0001,True,0.1,10000,0,0,targeted_informed,0,SGD,1.0,False,512,20,1.6689300537109375e-06,0,0,1.6689300537109375e-06,0.5811245454545455,0.5128,0.5171,0.0,60000,False,1.0,1.0,None
nothing,0.0001,True,0.1,10000,0,0,targeted_informed,0,SGD,1.0,False,512,20,1.1920928955078125e-06,0,0,1.1920928955078125e-06,0.5811245454545455,0.5114714285714286,0.5035,0.0,70000,False,1.0,1.0,None
nothing,0.0001,True,0.1,10000,0,0,targeted_informed,0,SGD,1.0,False,512,20,1.1920928955078125e-06,0,0,1.1920928955078125e-06,0.5811245454545455,0.5110125,0.5078,0.0,80000,False,1.0,1.0,None
nothing,0.0001,True,0.1,10000,0,0,targeted_informed,0,SGD,1.0,False,512,20,1.9073486328125e-06,0,0,1.9073486328125e-06,0.5811245454545455,0.5115111111111111,0.5155,0.0,90000,False,1.0,1.0,None
nothing,0.0001,True,0.1,10000,0,0,targeted_informed,0,SGD,1.0,False,512,20,1.430511474609375e-06,0,0,1.430511474609375e-06,0.5811245454545455,0.51095,0.5059,0.0,100000,False,1.0,1.0,None
